Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
239134,Airplane,ALBANY INTL,< 1000 ft,BE-1900,1,1,Precautionary Landing,2005-10-14,No damage,2,COMMUTAIR,New York,Climb,,False,False,RETD FOR INSPN,Small,Overcast,Unknown bird - small,N,0,1000.0,0,No
237346,Airplane,OGDENSBURG INTL ARPT,< 1000 ft,BE-1900,1,1,Aborted Take-off,2005-10-16,Caused damage,2,AIR MIDWEST,New York,Take-off run,,False,False,NOSE GEAR HIT A COYOTE AND COLLAPSED. A/C SKIDDED TO STOP ON RWY. PROPELLERS WENT THRU SKIN OF A/C. MAY NOT BE REPAIRABLE. A/C WILL BE TOTALLED.,Large,Overcast,Coyote,N,1757025,0.0,0,No
237105,Airplane,DES MOINES INTL,> 1000 ft,EMB-145,1,1,Precautionary Landing,2005-10-22,Caused damage,2,AMERICAN EAGLE AIRLINES,Iowa,Climb,,False,False,"LRG BIRD HIT RADOME, BOUNCED UP INTO CO/P'S WINDSHLD. A/C WILL BE OUT OF SVC FOR UNKN AMT OF TIME.",Large,Overcast,Unknown bird - large,N,0,2000.0,0,No
238392,Airplane,ERNEST A LOVE FIELD,< 1000 ft,PA-44 SEMINOLE,1,1,Precautionary Landing,2005-10-24,No damage,2,BUSINESS,Arizona,Take-off run,,False,False,"HIT BIRD AT ROTATION, NO DMG OR ALTERING OF FLYING QUALITIES. RETURNED FOR UNEVENTFUL LDG. (ALT REPTD AS 500 AND 0, SPEED AS 120 AND 75- WENT WITH PILOT'S RPT)",Small,No Cloud,Unknown bird - small,N,0,0.0,0,No
237215,Airplane,WESTCHESTER COUNTY ARPT,> 1000 ft,PILATUS PC12,1,1,Other,2005-10-28,Caused damage,1,BUSINESS,New York,Descent,,False,False,BIRDS WER DARK (BROWN OR BLACK) WITH GREY BOTTOMS. DESCENDING INTO HPN ON W SIDE OF TAPANZEE BRIDGE. ABOUT 5 NORTH ON SHORELINE.,Small,Some Cloud,Unknown bird - small,N,0,2500.0,0,No
238495,Airplane,MIAMI INTL,< 1000 ft,A-300,1,1,Aborted Take-off,2005-10-31,No damage,2,AMERICAN AIRLINES,Florida,Take-off run,,True,False,NO INDICATION WHERE BIRD STRUCK. INSPN BY PILOT AND AIRLINE MECHANIC. HAWK WAS RECOVERED AND TAKEN TO MUSEUM OF SCIENCE IN MIAMI.,Medium,Some Cloud,Red-tailed hawk,Y,0,0.0,0,No
238061,Airplane,AUSTIN-BERGSTROM INTL,> 1000 ft,C-550,1,1,Precautionary Landing,2005-11-04,Caused damage,2,BUSINESS,Texas,Climb,,False,False,"BIRD COULD HAVE BEEN A HAWK, VULTURE OR EAGLE. NO REMAINS FOUND. DAMAGED L WING LE & RESULTED IN A FUEL LEAK. A/C LANDED SAFELY AFTER CALLING FOR AN EMERGENCY LDG. TIME OUT OF SVC REPTD AS 72+ HRS",Large,No Cloud,Unknown bird - large,N,0,1400.0,0,No
233954,Airplane,EPPLEY AIRFIELD,> 1000 ft,B-757-200,1,1,Other,2005-11-09,Caused damage,2,UNITED AIRLINES,Nebraska,Descent,,True,True,"ID BY SMITHSONIAN, FAA 1300. 20 MI W OF OMA AT FL6500, LRG FLOCK OF BIRD WERE BENEATH THE A/C. ENG PARAMETERS WERE NORMAL. #2 ENF FAN CASE ACCOUSTIC PANEL PUNCTURED AFT OF FAN BLADES, FWD OF EXIT VANES. STRONG ODOR. REPLACED NOSE CONE. CLEANED RESIDUAL RE",Large,No Cloud,Snow goose,Y,0,6400.0,0,Yes
239595,Airplane,PALM BEACH INTL,< 1000 ft,MD-88,1,1,Precautionary Landing,2005-11-16,No damage,2,DELTA AIR LINES,Florida,Climb,,False,False,BIRD INGESTED. REMAINS FOUND IN COMPRESSOR OTBD OF CORE. NO DMG.,Small,Some Cloud,Unknown bird - small,N,0,500.0,0,No
234633,Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-757-200,1,1,Precautionary Landing,2005-11-18,Caused damage,2,DELTA AIR LINES,New York,Climb,,True,True,1 PARTICAL CARCASS COLLECTED FROM SHOULDER OF RWY 4L ABOUT 110 F E OF CENTERLINE BTWN TWY G & Z. ID BY SMITHSONIAN FAA 1324. PILOT SAW SEVERAL BLACK BIRDS FLY BY. HEARD A LOUD BANG AND COCKPIT FILLED WITH ACRID ODOR. SOME FEATHERS REMOVED FROM ENG.,Large,No Cloud,Double-crested cormorant,Y,0,400.0,0,Yes
240438,Airplane,MINISTRO PISTARINI,> 1000 ft,B-777-200,1,1,Other,2005-11-29,No damage,2,AMERICAN AIRLINES,,Climb,,False,False,BIRD HIT F/O'S FWD WINDSCREEN WITH A LOUD BANG. REDUCED VISIBILITY. COST REPTD FOR INSPN.,Medium,No Cloud,Unknown bird - medium,N,674,5600.0,0,No
231749,Airplane,JOHN F KENNEDY INTL,< 1000 ft,B-747-1/200,1,1,Engine Shut Down,2005-12-10,Caused damage,4,KALITTA AIR,New York,Landing Roll,,True,True,"ID BY SMITHSONIAN, FAA 1334. CAPT SAW BIRD SITTING ON RWY AS A/C ROLLED OUT. THE BIRD ATTEMPTED TO FLY AS THE A/C PASSED IT. A THUMP WAS HEARD AND CAPT SHUT DOWN THE #2 ENG WHICH WAS OVERHEATING.  COMPRESSOR WAS REPLACED PHOTOS TAKEN. DMG ESTIMATED BTWN $",Large,Some Cloud,Great blue heron,Y,292838,0.0,0,No
242265,Airplane,ERNEST A LOVE FIELD,< 1000 ft,PA-44 SEMINOLE,1,1,Other,2005-12-15,No damage,2,BUSINESS,Arizona,Approach,,False,False,"JUST BEFORE T/D WHILE ENTERING FLARE, A BIRD WAS SEEN APPROACHING FROM OUR LEFT. IT PASSED UNDERNEATH THE NOSE AND A THUMP WAS HEARD FROM UNDER RT WING. INSPN FOUND IT HAD STRUCK RT PROP. NO DMG. (EFFECT REPTD AS PREC LDG AND ABORTED T/O) CONFIRMED ABORTE",Medium,Some Cloud,Unknown bird - medium,N,0,5.0,0,No
237308,Airplane,SACRAMENTO INTL,> 1000 ft,B-737-300,1,1,Precautionary Landing,2005-12-23,Caused damage,2,SOUTHWEST AIRLINES,California,Climb,,False,False,RADOME HAD SOME MISSING PAINT,Large,Overcast,Unknown bird - large,Y,0,2500.0,0,Yes
240499,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,< 1000 ft,MD-80,1,1,Precautionary Landing,2005-12-24,Caused damage,2,AMERICAN AIRLINES,Florida,Climb,,True,False,"ATIS WARNING. SAW LRG BIRD ON T/O 1-2 SECONDS PRIOR TO IMPACT. BIRD HIT LWR NOSE ON CENTERLINE, FOLLOWED BY A SIGNIFICANT VIBRATION & BURNING RUBBER SMELL. MADE AN OVERWT PREC LDG AFTER DECLARING AN EMERGENCY. DMG: 2 FT LONG CRACK IN RADOME BACK TO THE RE",Large,Some Cloud,Turkey vulture,Y,65596,350.0,0,No
238621,Airplane,ORLANDO INTL,< 1000 ft,B-757-200,1,1,Aborted Take-off,2005-12-26,Caused damage,2,US AIRWAYS*,Florida,Take-off run,,True,True,"ATIS WARNING. ID BY SMITHSONIAN, FAA 1352 & 1369. CLOSED RWY FOR 5 MINUTES TO CLEAR REMAINS. NO FEATHERS FOUND, ONLY SML BITS OF FLESH. A/C WAS INSPECTED ON TWY B BY OPS BUT SHOWED NO EXTERNAL DMG. A/C TAXIED TO GATE W/O INCIDENT. 2 FAN BLADES WERE BENT.",Large,No Cloud,Great horned owl,Y,0,0.0,0,Yes
240351,Airplane,CHICAGO MIDWAY INTL ARPT,< 1000 ft,B-737-300,1,1,Precautionary Landing,2005-12-28,Caused damage,2,SOUTHWEST AIRLINES,Illinois,Climb,Rain,True,True,"NEVER SAW THE BIRD. ID BY SMITHSONIAN,  FAA 1348. A/C WAS DIVERTED TO ORD. DESTROYED ENG. BIRD FIRST RETPD AS GULL BY CAPT.  HE WAS UNAWARE BIRDS FLEW AT NIGHT.",Large,Overcast,Snowy owl,N,0,400.0,0,Yes
237369,Airplane,ONTARIO INTL ARPT,< 1000 ft,DC-10-10,1,1,Aborted Take-off,2005-12-29,No damage,3,FEDEX EXPRESS,California,Take-off run,,True,False,RETD TO GATE. EVIDENCE FOUND ON CAPT'S PITOT TUBE. CARCASS FOUND ON RWY 26L AT INTXN U.,Small,No Cloud,Barn owl,N,0,0.0,0,Yes
235273,Airplane,JOHN F KENNEDY INTL,< 1000 ft,A-320,1,1,Aborted Take-off,2005-12-31,Caused damage,2,JETBLUE AIRWAYS,New York,Take-off run,,True,True,"ID BY SMITHSONIAN, FAA 1368. ABORTED T/O AFTER INGESTING GULL IN #2 ENG. SEVERAL BLADES WERE BROKEN. CREW & PAX PUT ON ANOTHER A/C. FLT DELAYED ABOUT 2 HRS.",Medium,Overcast,Herring gull,Y,0,0.0,0,No
237949,Airplane,MINETA SAN JOSE INTL,> 1000 ft,B-737-700,1,1,Precautionary Landing,2006-01-02,No damage,2,SOUTHWEST AIRLINES,California,Climb,Rain,False,False,"LGR BIRD INGESTED INTO #1 ENG. LOUD BANG, VIBRATION AND BUZZING SOUND FOR 60 SECONDS. RETD TO SJC FOR INSPN.",Large,Overcast,Unknown bird - large,N,0,1500.0,0,Yes
240849,Airplane,LAMBERT-ST LOUIS INTL,< 1000 ft,BE-1900,1,1,Aborted Take-off,2006-01-03,No damage,2,SKYWAY AIRLINES,Missouri,Take-off run,,True,False,"ATIS WARNING. BIRD REPTD AS HAWK, CALLED ARPT BIOL FOR CORRECT ID.",Medium,Overcast,Red-tailed hawk,Y,0,0.0,0,No
239573,Airplane,ST. LUCIE COUNTY INTL ARPT,< 1000 ft,C-172,1,1,Precautionary Landing,2006-01-04,Caused damage,1,BUSINESS,Florida,Climb,,False,False,DENT IN RT WING LE,Large,No Cloud,Unknown bird - large,Y,0,400.0,0,No
239168,Airplane,PORTLAND INTL (OR),< 1000 ft,B-757-200,1,1,Precautionary Landing,2006-01-07,Caused damage,2,DELTA AIR LINES,Oregon,Climb,,True,True,"INGESTED BIRD ON T/O. DAMAGED FAN BLADES. LANDED W/O INCIDENT. ID BY SMITHSONIAN. FAN SECTION REPLACED. ACOUSTIC LINER DMG BORESCOPED ENG, OKAY. ODOR IN CABIN. ENG PARA NORMAL BUT ENG SOUNDED ODD.",Large,Overcast,Great blue heron,Y,278514,100.0,0,Yes
237733,Airplane,KANSAS CITY INTL,> 1000 ft,B-737-700,1,1,Precautionary Landing,2006-01-09,No damage,2,SOUTHWEST AIRLINES,Missouri,Climb,,False,False,"ATIS WARNING. VERY LOUD BANG THAT FELT LIKE WE HIT A LRG BIRD ON FUSELAGE. UPON LDG, INSPN FOUND NO BIRD REMAINS. A/C SHOOK. OU TOF SVC 1/2 HR.",Medium,No Cloud,Unknown bird - medium,Y,0,5000.0,0,Yes
234427,Airplane,GREATER PITTSBURGH,< 1000 ft,A-320,1,1,Engine Shut Down,2006-01-19,Caused damage,2,USA 3000,Pennsylvania,Take-off run,,False,False,PILOT KNEW THERE WAS SOME DAMAGE TO ENG BUT NOT SURE OF EXTENT. ENG VIBRATION. LANDED WITH  #2 ENG SHUT DOWN. TAXIED TO RAMP W/O INCIDENT.,Small,Some Cloud,Unknown bird - small,N,0,0.0,0,No
236191,Airplane,EXECUTIVE ARPT,> 1000 ft,C-210 CENTUR,1,1,Precautionary Landing,2006-01-21,Caused damage,1,FLIGHT EXPRESS,Florida,Approach,,False,False,"BIRD HIT RT OF CENTERLINE WITH ABOUT 40% OF WINDSHLD BEING DESTROYED. INSTRUCTOR IN RT SEAT WAS HIT BY BROKEN PLEXIGLASS, HAD CUTS ON HEAD AND FACE. REQD STITCHES. KNOCKED HEADSET OFF, LOST COMMUNICATIONS.",Large,No Cloud,Black vulture,N,0,2000.0,1,No
236939,Airplane,RICHARD LLOYD JONES JR ARPT,< 1000 ft,C-152,1,1,Other,2006-01-23,No damage,1,BUSINESS,Oklahoma,Climb,,False,False,NOTICED BIRD ON T/O BUT DID NOT KNOW OF STRIKE UNTIL ON THE GROUND.,Medium,No Cloud,Unknown bird - medium,N,0,20.0,0,No
237919,Airplane,LAMBERT-ST LOUIS INTL,< 1000 ft,B-737-300,1,1,Precautionary Landing,2006-01-30,Caused damage,2,SOUTHWEST AIRLINES,Missouri,Take-off run,,True,True,MINOR DMG TO 1 FAN BLADE (TIP BENT FWD). STRONG BURNT FEATHER SMELL IN CABIN/COCKPIT. ID BY SMITHSONIAN. FAA 1375. PHOTOS.,Medium,Some Cloud,Red-tailed hawk,Y,0,0.0,0,Yes
238007,Airplane,BESSEMER ARPT,< 1000 ft,C-172,1,1,Precautionary Landing,2006-02-01,Caused damage,1,BUSINESS,Alabama,Approach,,False,False,"PILOT WAS WARNED ABOUT A HERD OF DEER  ON THE RWY WHILE ATTEMPTING TO LAND. A/C AVOIDED MOST OF THE HERD BUT HIT 1 WITH LEFT MAIN LDG GEAR. DIVERTED TO BHM ABOUT 20 MILES AWAY WITH BENT L MAIN LDG GEAR. LANDED RWY 36 ON RT MAIN LDG GEAR, SKIDDED OFF RWY.",Large,No Cloud,White-tailed deer,Y,26915,10.0,0,No
236716,Airplane,LAGUARDIA NY,< 1000 ft,B-757-200,1,1,Precautionary Landing,2006-02-09,No damage,2,DELTA AIR LINES,New York,Climb,,True,True,"BIRD FIRST REPTD AS HERRING OR RING-BILLED GULL. RING-BILLED GULL WINGS FOUND AT LGA. (HERRING GULL ID'D BY SMITHSONIAN, FAA 1384) PILOT REPTD COMPRESSOR STALL IN #1 ENG DUE TO BIRDSTRIKE. A/C DIVERTED AND LANDED AT JFK W/O INCIDENT. SWEEP OF RWY 31 MADE",Medium,No Cloud,Herring gull,N,0,1000.0,0,Yes
249434,Airplane,GRANT COUNTY ARPT,> 1000 ft,PILATUS PC12,1,1,Precautionary Landing,2006-02-09,Caused damage,1,BUSINESS,Washington,Climb,Rain,False,False,DENT IN L WING LE.,Medium,Overcast,Unknown bird - medium,N,0,1500.0,0,No
240391,Airplane,SALT LAKE CITY INTL,< 1000 ft,CL-RJ100/200,1,1,Aborted Take-off,2006-02-16,No damage,2,SKYWEST AIRLINES,Utah,Take-off run,,False,False,PILOT REPTD BIRDSTRIKE ON DEPTR AND RETD TO GATE. MX FOUND NO DMG.,Medium,Some Cloud,Unknown bird - medium,Y,0,0.0,0,No
243378,Airplane,DANIEL ODUBER QUIROS INTL,< 1000 ft,B-757-200,1,1,Precautionary Landing,2006-02-17,Caused damage,2,DELTA AIR LINES,,Take-off run,,True,True,FLT DELAYED 2 HRS DUE TO FIRE ON ARPT PROPERTY. A CONTROLLED BURN GOT OUT OF CONTROL. WHEN CLEARED FOR T/O CREW REPTD FEELING ENG VIBRATONS AT V1. #1 ENG EGT RISING. ENG WAS DESTROYED. PHOTOS. ID BY SMITHSONIAN FAA 1398.,Medium,No Cloud,Crested caracara,N,0,0.0,0,Yes
232127,Airplane,HONG KONG INTL,< 1000 ft,MD-11,1,1,Other,2006-03-01,No damage,3,UPS AIRLINES,,Climb,,False,False,CAPT'S WINDSCREEN OBSCURRED. LARGE HAWK SIZE BIRD SOARING OVER RWY. EVENT 7933.,Large,Some Cloud,Unknown bird - large,N,0,200.0,0,No
239830,Airplane,SALT LAKE CITY INTL,< 1000 ft,SA227 AC METRO III,1,1,Precautionary Landing,2006-03-02,Caused damage,2,AMERIFLIGHT,Utah,Climb,,True,True,"ID BY SMITHSONIAN, FAA 1388. RT WING OF A/C NEEDED EXTENSIVE REPAIR. PILOT MADE EMERGENCY LANDING AT AIRPORT. RT WING EXTENSION WAS REPLACED. PHOTOS TAKEN.",Medium,Some Cloud,Common goldeneye,Y,2282,600.0,0,No
236480,Airplane,SOUTH BEND REGIONAL,< 1000 ft,C-172,1,1,Precautionary Landing,2006-03-07,No damage,1,BUSINESS,Indiana,Climb,,False,False,PILOT REQSTD PRC LDG DUE TO A LARGE BIRD STRIKE. FOUND MOURNING DOVE IN MIDDLE OF TWY A3.,Small,No Cloud,Mourning dove,N,0,200.0,0,No
235883,Airplane,HONOLULU INTL ARPT,> 1000 ft,B-737-200,1,1,Precautionary Landing,2006-03-11,No damage,2,ALOHA AIRLINES,Hawaii,Climb,,False,False,A/C RETD TO LAND. DID NOT INDICATE DMG TO A/C. DID NOT DELCARE EMERG. 8 MILES SE OF ARPT.,Large,Some Cloud,Unknown bird - large,N,0,2000.0,0,Yes
236659,Airplane,SCHOLES INTL ARPT AT GALVESTON,> 1000 ft,BE-58  BARON,1,1,Other,2006-03-14,Caused damage,2,PRIVATELY OWNED,Texas,Descent,,False,False,"BIRD SUDDENLY APPEARED IN WINDSHLD. PILOT DESCENDED TO AVOID CONTACT BUT BIRD HIT HORIZ STABILIZER WHERE IT ATTACHES TO FUSELAGE. COST ESTIMATED AT $5000 TO 10, 000. BIRD NOT RETRIEVED NOR SAMPLES TAKEN.",Large,No Cloud,Brown pelican,Y,13831,1750.0,0,No
238714,Airplane,ATLANTIC CITY INTL,< 1000 ft,GULFSTREAM V,1,1,Precautionary Landing,2006-03-16,No damage,2,GOVERNMENT,New Jersey,Take-off run,,True,False,NO DMG. A/C IN TOWER PATTERN DOING TOUCH AND GO'S.,Small,No Cloud,Horned lark,N,0,0.0,0,No
238130,Airplane,SARASOTA-BRADENTON,< 1000 ft,B-737-400,1,1,Other,2006-03-17,Caused damage,2,US AIRWAYS*,Florida,Approach,,True,False,"BIRD ALSO RPTD AS TURKEY VULTURE BY UNKNOWN SOURCE. 9 BENT FAN BLADES, BUT ABLE TO OPERATE REVENUE FLT. BORESCOPE FOUND NO DMG. FOLLOWING DEPARTURE CANCELLED UNTIL REMAINS CLEANED UP.",Large,No Cloud,Osprey,Y,0,700.0,0,Yes
244234,Airplane,DAYTONA BEACH INTL,< 1000 ft,B-737-800,1,1,Precautionary Landing,2006-03-21,No damage,2,DELTA AIR LINES,Florida,Climb,,True,False,JUST PRIOR TO VR A FLOCK OF 4-8 BIRDS WERE SEEN ON RWY. AT ROTATION IT APPEARED WE WOULD PASS OVER THE FLOCK. SHORTLY AFTER POSITIVE RATE AN IMPACT WAS FELT WITH A COMPRESSOR STALL AND  YAW TO THE RIGHT. WE STAYED IN THE PATTERN AND MADE A NORMAL LDG. ALL,Large,No Cloud,Turkey vulture,N,0,20.0,0,Yes
244107,Airplane,ERNEST A LOVE FIELD,< 1000 ft,C-172,1,1,Precautionary Landing,2006-03-21,Caused damage,1,BUSINESS,Arizona,Climb,,False,False,POSSIBLE GRACKLE. SMALL DENT IN WING.,Small,Some Cloud,Unknown bird - small,N,0,300.0,0,No
233554,Airplane,BOEING FIELD K C INT,< 1000 ft,DA-50 FALCON,1,1,Other,2006-03-22,Caused damage,3,BUSINESS,Washington,Approach,Rain,True,False,ON FINAL PIC SAW SEVERAL GEESE IN FLIGHT IN FRONT OF A/C AS THEY CROSSED THE THRESHOLD. HE TRIED TO PULL UP TO AVOID THEM. 1 HIT JUST BELOW PILOTS' WINDOW ON L SIDE. GLANCING BLOW. SOME SKIN DAMAGE VISIBLE. RECOVERED DEAD GOOSE FROM RWY. INTACT. A/C CAN S,Large,Some Cloud,Canada goose,N,34226,100.0,0,No
239698,Airplane,EXECUTIVE ARPT,> 1000 ft,PILATUS PC12,1,1,Precautionary Landing,2006-03-29,Caused damage,1,BUSINESS,Florida,Climb,,False,False,ATIS WARNING. SIGNIFICANT 3' DEEP DEFORMATION RT WING ROOT.,Large,No Cloud,Turkey vulture,Y,154019,1500.0,0,No
241329,Airplane,PINE MOUNTAIN LAKE ARPT,< 1000 ft,C-210 CENTUR,1,1,Precautionary Landing,2006-04-01,Caused damage,1,PRIVATELY OWNED,California,Climb,,False,False,BIRD REPTD AS MED & LARGE. PHOTO ATTACHED. NOSE DENTD AND PAINT REMOVED,Large,No Cloud,Unknown bird - large,N,570,560.0,0,No
237331,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-82,1,1,Other,2006-04-05,No damage,2,AMERICAN AIRLINES,Texas,Approach,,False,False,NO DMG.,Medium,Some Cloud,Unknown bird - medium,Y,0,100.0,0,No
236389,Airplane,KNOXVILLE DOWNTOWN ISLAND ARPT,< 1000 ft,CHAMP 8KCAB,1,1,Aborted Take-off,2006-04-09,Caused damage,1,BUSINESS,Tennessee,Take-off run,,False,False,"PROP DMG. ENG REMOVED FOR INSPN. 1 PROP WAS REPLACED, COST UNDER $500 (ASSUME $450).  NO ENG DMG.",Large,No Cloud,Unknown bird - large,N,513,0.0,0,No
240397,Airplane,ONA AIRPARK ARPT,< 1000 ft,C-172,1,1,Engine Shut Down,2006-04-11,Caused damage,1,PRIVATELY OWNED,West Virginia,Landing Roll,,False,False,"SAW POSSIBLE DEER ON 1ST LDG APCH. CONDUCTED DEER PASS IN ATTEMPT TO SCARE AWAY DEER. NONE SEEN ON 2ND APCH. WHILE LOWERING NOSE AFTER LDG, DEER RAN TWD L SIDE AND HIT PROP/ENGINE. DEER WAS CUT IN HALF. LWR L SIDE OF COWLING WAS DENTED AND MUFFLER/EXHAUST",Large,No Cloud,White-tailed deer,N,22818,0.0,0,No
238727,Airplane,HARRISBURG INTL,> 1000 ft,CL-RJ100/200,1,1,Other,2006-04-11,Caused damage,2,MESA AIRLINES,Pennsylvania,Approach,,False,False,NO OUTSIDE DMG. ENG WILL BE BORESCOPED. FLT CANCELLED. 1.5 INCH RIP FOUND IN FAN BLADE. WAITED 1.5 HRS FOR OUR MAINTENANCE THEN CALLED ANOTHER CONTRACT MX.,Medium,Some Cloud,Unknown bird - medium,N,0,1500.0,0,No
237922,Airplane,LAKEFRONT AIRPORT,< 1000 ft,DA-10 FALCON,1,1,Precautionary Landing,2006-04-11,Caused damage,2,BUSINESS,Louisiana,Climb,,False,False,ABOUT 7 FAN BLADES. COMPRESSOR HAD ORGANIC CONTAMINATION,Medium,No Cloud,Unknown bird - medium,N,0,350.0,0,No
240550,Airplane,JOHN F KENNEDY INTL,< 1000 ft,A-300,1,1,Precautionary Landing,2006-04-13,No damage,2,AMERICAN AIRLINES,New York,Take-off run,,True,True,PILOT REPTD STRIKING A LARGE BIRD AND WAS UNABLE TO ABORT T/O. A/C RETD AND THE FLT WAS CANCELLED. MX CONFIRMED INGESTION ALTHOUGH THERE WAS NO VIZ DMG TO BLADES. ID BY SMITHSONIAN. FAA 1414,Small,No Cloud,Laughing gull,Y,0,0.0,0,No
236848,Airplane,NEWPORT NEWS/WILLIAMSBURG INTL,> 1000 ft,BE-35,1,1,Precautionary Landing,2006-04-15,Caused damage,1,PRIVATELY OWNED,Virginia,Approach,,True,True,"HIT BIRD WHILE INBOUND (ASSUME APCH). ARFF RESPONDED. A/C TAXIED TO RAMP W/O INCIDENT. SIGNIFICANT STRUCTURAL DMG REPTD TO LE K WING, MEASURING APPROX 3' BY 2 '. ID BY SMITHSONIAN FAA 1421",Large,No Cloud,Double-crested cormorant,Y,5704,2500.0,0,No
236998,Airplane,PALM BEACH INTL,> 1000 ft,LEARJET-60,1,1,Engine Shut Down,2006-04-17,Caused damage,2,BUSINESS,Florida,Climb,,True,True,"ID BY SMITHSONIAN, FAA 1429. #2 ENG HAD SIGNIFICANT DMG AND WAS SHUTDOWN IN FLIGHT. RETD TO ARPT. UNEVENTFUL 1 ENG LDG.  ENG WAS DAMAGED BEYOND REPAIR.",Large,Some Cloud,Black vulture,Y,855658,2200.0,0,No
240270,Airplane,AUSTIN-BERGSTROM INTL,> 1000 ft,CIRRUS SR 20/22,1,1,Precautionary Landing,2006-04-22,Caused damage,1,BUSINESS,Texas,Climb,,False,False,AN EMERGENCY WAS DECLARED AFTER WING WAS DAMAGED FROM A VULTURE STRIKE. STRIKE OCCURRED OVER A CONSTRUCTION MATERIAL LANDFILL. IMPACT SHIVERED THE PLANE AND TWISTED IT TO THE LEFT. WING WAS SMASHED WITH PIECES FLAPPING UP AND DOWN. OUTER 2' OF WING  WAS A,Large,Some Cloud,Turkey vulture,N,5932,1500.0,0,No
235985,Airplane,RALEIGH-DURHAM INTL,> 1000 ft,BE-300 KING,1,1,Precautionary Landing,2006-05-04,Caused damage,2,BUSINESS,North Carolina,Climb,,False,False,PILOT REPTS SLIGHT DENT ON LE HORIZ STABIL. DMG/COST UNKN,Large,No Cloud,Unknown bird - large,N,0,7200.0,0,No
241979,Airplane,PORTLAND INTL (OR),< 1000 ft,A-319,1,1,Precautionary Landing,2006-05-06,Caused damage,2,UNITED AIRLINES,Oregon,Take-off run,,True,False,F/O NOTICED HAWK & LEVELED AT 4000 FT & 230 KTS WITH N1 VIB PEGGED OUT AT 9.9 WITH NOTICABLE VIBRATION.RETD TO FIELD ON ALERT 1 STATUS. INSPN FOUND3 BENT FAN BLADES & DMG TO ACCOUSITICAL LINER. FIRE CREW LOOKED AT ENG. TAXIED TO GATE. REPLACED 3 FAN BALDE,Medium,Overcast,Red-tailed hawk,Y,94878,0.0,0,No
238048,Airplane,HOUSTON-HOBBY,> 1000 ft,B-737-300,1,1,Other,2006-05-07,No damage,2,SOUTHWEST AIRLINES,Texas,Climb,,False,False,"POSSIBLE BIRD INGESTION, ACRID SMELL IN CABIN.(DATA ENTRY NOTE:  ENG # NOT REPTD, ASSUME #1)",Medium,Some Cloud,Unknown bird - medium,N,0,2000.0,0,Yes
239575,Airplane,TRI-STATE MILTON FERGUSON,< 1000 ft,C-210 CENTUR,1,1,Precautionary Landing,2006-05-08,No damage,1,PRIVATELY OWNED,West Virginia,Take-off run,,False,False,"NOTAM ON BIRDS ON FILE. PILOT TOOK OFF, HIT SML BIRD & LANDED BACK TO CHECK FOR DMG. NONE FOUND.",Small,Some Cloud,Unknown bird - small,Y,0,0.0,0,No
241475,Airplane,SNOHOMISH CO (PAINE FIELD),< 1000 ft,C-150,1,1,Precautionary Landing,2006-05-08,No damage,1,BUSINESS,Washington,Approach,,True,False,HIT SML BIRD WHILE LDG. PILOT REPTD STRIKE TO ATCT. FIRE DEPT RECOVERED BIRD & HAD WS BIOL ID IT. NO DMG.,Small,No Cloud,Red-winged blackbird,N,0,60.0,0,No
242862,Airplane,AUBURN-LEWISTON MUNICIPAL,< 1000 ft,C-172,1,1,Precautionary Landing,2006-05-08,Caused damage,1,PRIVATELY OWNED,Maine,Approach,,False,False,"LARGE WHITE BIRD DID SIGNIF DMG TO LE OF RT WING. PILOT WAS ON DOWNWIND, TURNING BASE TO LAND. AT ABOUT 800 FT AGL SAW WHITE FLASH FROM LFT TO RT IN WINDSCREEN. BIRD HIT LE OF RT WING. (PHOTO ON ARPT WEBSITE)",Large,No Cloud,Unknown bird - large,N,5704,800.0,0,No
241029,Airplane,PORTLAND INTL (OR),< 1000 ft,B-737-400,1,1,Aborted Take-off,2006-05-18,No damage,2,ALASKA AIRLINES,Oregon,Take-off run,,False,False,NO DMG . FLT DEPARTED 55 MINUTES LATER. N# NOT CORRECT (N733AA),Large,No Cloud,Osprey,Y,0,0.0,0,Yes
237966,Airplane,JOHN H BATTEN ARPT,< 1000 ft,DA-10 FALCON,1,1,Aborted Take-off,2006-05-18,Caused damage,2,BUSINESS,Wisconsin,Take-off run,,True,False,"DAMAGED FRONT FAN ON RT ENG. 12 BLADES REPLACED. NO GULLS HAD BEEN SEEN ON THE AIRPORT ALL MORNING. THIS WAS A SINGLE GULL, NO FLOCK IN SIGHT.",Medium,Some Cloud,Ring-billed gull,N,68453,0.0,0,No
